"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"08/01/2021 18:00:00 - 08/01/2021 19:00:00","BZN|DK1","3078.00","3116.76"
"08/01/2021 19:00:00 - 08/01/2021 20:00:00","BZN|DK1","2901.00","2853.37"
"08/01/2021 20:00:00 - 08/01/2021 21:00:00","BZN|DK1","2707.00","2669.90"
"08/01/2021 21:00:00 - 08/01/2021 22:00:00","BZN|DK1","2539.00","2533.34"
"08/01/2021 22:00:00 - 08/01/2021 23:00:00","BZN|DK1","2379.00","2389.38"
"08/01/2021 23:00:00 - 09/01/2021 00:00:00","BZN|DK1","2213.00","2249.16"
"09/01/2021 00:00:00 - 09/01/2021 01:00:00","BZN|DK1","2124.00","2155.64"
"09/01/2021 01:00:00 - 09/01/2021 02:00:00","BZN|DK1","2047.00","2086.81"
"09/01/2021 02:00:00 - 09/01/2021 03:00:00","BZN|DK1","2004.00","2050.52"
"09/01/2021 03:00:00 - 09/01/2021 04:00:00","BZN|DK1","1998.00","2046.48"
"09/01/2021 04:00:00 - 09/01/2021 05:00:00","BZN|DK1","2043.00","2048.93"
"09/01/2021 05:00:00 - 09/01/2021 06:00:00","BZN|DK1","2092.00","2118.69"
"09/01/2021 06:00:00 - 09/01/2021 07:00:00","BZN|DK1","2238.00","2224.57"
"09/01/2021 07:00:00 - 09/01/2021 08:00:00","BZN|DK1","2416.00","2400.12"
"09/01/2021 08:00:00 - 09/01/2021 09:00:00","BZN|DK1","2566.00","2567.17"
"09/01/2021 09:00:00 - 09/01/2021 10:00:00","BZN|DK1","2664.00","2668.66"
"09/01/2021 10:00:00 - 09/01/2021 11:00:00","BZN|DK1","2745.00","2717.39"
"09/01/2021 11:00:00 - 09/01/2021 12:00:00","BZN|DK1","2714.00","2707.93"
"09/01/2021 12:00:00 - 09/01/2021 13:00:00","BZN|DK1","2668.00","2661.58"
"09/01/2021 13:00:00 - 09/01/2021 14:00:00","BZN|DK1","2660.00","2664.93"
"09/01/2021 14:00:00 - 09/01/2021 15:00:00","BZN|DK1","2658.00","2666.66"
"09/01/2021 15:00:00 - 09/01/2021 16:00:00","BZN|DK1","2668.00","2660.06"
"09/01/2021 16:00:00 - 09/01/2021 17:00:00","BZN|DK1","2770.00","2769.43"
"09/01/2021 17:00:00 - 09/01/2021 18:00:00","BZN|DK1","3008.00","3018.29"
"09/01/2021 18:00:00 - 09/01/2021 19:00:00","BZN|DK1","2943.00","2933.83"
"09/01/2021 19:00:00 - 09/01/2021 20:00:00","BZN|DK1","2704.00","2696.49"
"09/01/2021 20:00:00 - 09/01/2021 21:00:00","BZN|DK1","2554.00","2572.37"
"09/01/2021 21:00:00 - 09/01/2021 22:00:00","BZN|DK1","2447.00","2475.29"
"09/01/2021 22:00:00 - 09/01/2021 23:00:00","BZN|DK1","2361.00","2355.04"
"09/01/2021 23:00:00 - 10/01/2021 00:00:00","BZN|DK1","2222.00","2257.22"
"10/01/2021 00:00:00 - 10/01/2021 01:00:00","BZN|DK1","2125.00","2167.88"
"10/01/2021 01:00:00 - 10/01/2021 02:00:00","BZN|DK1","2069.00","2114.59"
"10/01/2021 02:00:00 - 10/01/2021 03:00:00","BZN|DK1","2041.00","2068.81"
"10/01/2021 03:00:00 - 10/01/2021 04:00:00","BZN|DK1","2036.00","2063.01"
"10/01/2021 04:00:00 - 10/01/2021 05:00:00","BZN|DK1","2046.00","2052.69"
"10/01/2021 05:00:00 - 10/01/2021 06:00:00","BZN|DK1","2102.00","2102.20"
"10/01/2021 06:00:00 - 10/01/2021 07:00:00","BZN|DK1","2152.00","2160.35"
"10/01/2021 07:00:00 - 10/01/2021 08:00:00","BZN|DK1","2293.00","2263.26"
"10/01/2021 08:00:00 - 10/01/2021 09:00:00","BZN|DK1","2405.00","2383.27"
"10/01/2021 09:00:00 - 10/01/2021 10:00:00","BZN|DK1","2509.00","2580.49"
"10/01/2021 10:00:00 - 10/01/2021 11:00:00","BZN|DK1","2635.00","2658.73"
"10/01/2021 11:00:00 - 10/01/2021 12:00:00","BZN|DK1","2668.00","2672.53"
"10/01/2021 12:00:00 - 10/01/2021 13:00:00","BZN|DK1","2666.00","2681.89"
