"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"09/01/2021 03:00:00 - 09/01/2021 04:00:00","BZN|DK1","Without sequence","49.25",""
"09/01/2021 04:00:00 - 09/01/2021 05:00:00","BZN|DK1","Without sequence","49.63",""
"09/01/2021 05:00:00 - 09/01/2021 06:00:00","BZN|DK1","Without sequence","47.77",""
"09/01/2021 06:00:00 - 09/01/2021 07:00:00","BZN|DK1","Without sequence","49.57",""
"09/01/2021 07:00:00 - 09/01/2021 08:00:00","BZN|DK1","Without sequence","53.82",""
"09/01/2021 08:00:00 - 09/01/2021 09:00:00","BZN|DK1","Without sequence","59.8",""
"09/01/2021 09:00:00 - 09/01/2021 10:00:00","BZN|DK1","Without sequence","66.92",""
"09/01/2021 10:00:00 - 09/01/2021 11:00:00","BZN|DK1","Without sequence","67.71",""
"09/01/2021 11:00:00 - 09/01/2021 12:00:00","BZN|DK1","Without sequence","68.0",""
"09/01/2021 12:00:00 - 09/01/2021 13:00:00","BZN|DK1","Without sequence","67.01",""
"09/01/2021 13:00:00 - 09/01/2021 14:00:00","BZN|DK1","Without sequence","62.53",""
"09/01/2021 14:00:00 - 09/01/2021 15:00:00","BZN|DK1","Without sequence","60.0",""
"09/01/2021 15:00:00 - 09/01/2021 16:00:00","BZN|DK1","Without sequence","60.0",""
"09/01/2021 16:00:00 - 09/01/2021 17:00:00","BZN|DK1","Without sequence","62.78",""
"09/01/2021 17:00:00 - 09/01/2021 18:00:00","BZN|DK1","Without sequence","69.92",""
"09/01/2021 18:00:00 - 09/01/2021 19:00:00","BZN|DK1","Without sequence","71.99",""
"09/01/2021 19:00:00 - 09/01/2021 20:00:00","BZN|DK1","Without sequence","68.95",""
"09/01/2021 20:00:00 - 09/01/2021 21:00:00","BZN|DK1","Without sequence","62.66",""
"09/01/2021 21:00:00 - 09/01/2021 22:00:00","BZN|DK1","Without sequence","53.85",""
"09/01/2021 22:00:00 - 09/01/2021 23:00:00","BZN|DK1","Without sequence","54.13",""
"09/01/2021 23:00:00 - 10/01/2021 00:00:00","BZN|DK1","Without sequence","44.93",""
"10/01/2021 00:00:00 - 10/01/2021 01:00:00","BZN|DK1","Without sequence","38.84",""
"10/01/2021 01:00:00 - 10/01/2021 02:00:00","BZN|DK1","Without sequence","35.97",""
"10/01/2021 02:00:00 - 10/01/2021 03:00:00","BZN|DK1","Without sequence","34.35",""
